,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
0,200708020237A,d-10,preprocessed_10s_to_120s,1.9431464124554945e-05,2.1333684781312774e-05,5.9325475958780274e-05,7.280015347064562e-05,9.743740595453397e-05,4.3108001389379044e-05,3.769992375661799e-05,0.45783135207536857,0.40322064321706297,2.038257445293386e-05,6.606281471471295e-05,9.743740595453397e-05,4.040396257299852e-05,5.6071689423794826e-05
1,200708020237A,d-10,preprocessed_20s_to_120s,1.2376338092247911e-05,1.4286215436842072e-05,3.338879905130371e-05,5.521102038689501e-05,6.974599533086504e-05,1.974859765300342e-05,1.3671991561441858e-05,0.33256747505908546,0.23691040964886062,1.3331276764544993e-05,4.429990971909936e-05,6.974599533086504e-05,1.6710294607222638e-05,3.6021869105433006e-05
2,200708020237A,d-10,preprocessed_40s_to_120s,7.662069104973717e-06,8.888611777704558e-06,1.6969123590101447e-05,2.405497616755989e-05,2.8811722475512422e-05,5.180614539447702e-06,4.425900624911442e-06,0.23679038015834386,0.19943748586200014,8.275340441339137e-06,2.051204987883067e-05,2.8811722475512422e-05,4.8032575821795726e-06,1.560059259446545e-05
3,200708020237A,d-15,preprocessed_10s_to_120s,2.0209039743298492e-05,2.1862046566938458e-05,6.266971679363308e-05,7.294999677897846e-05,9.614749642590131e-05,4.753550700305661e-05,3.909599118126486e-05,0.5080166855155374,0.4674570447430838,2.1035543155118475e-05,6.780985678630578e-05,9.614749642590131e-05,4.331574909216074e-05,5.7077161364871575e-05
4,200708020237A,d-15,preprocessed_20s_to_120s,1.2289245139654526e-05,1.4950278709740951e-05,3.3648841522865254e-05,5.5275563086325e-05,6.867330788634677e-05,1.937891730033722e-05,1.3889774007446573e-05,0.34243736991898144,0.26284028533581333,1.3619761924697738e-05,4.446220230459512e-05,6.867330788634677e-05,1.6634345653891896e-05,3.584740444238288e-05
5,200708020237A,d-15,preprocessed_40s_to_120s,7.650474900195303e-06,8.870286034021128e-06,1.5904556696066594e-05,2.3467306668399087e-05,2.8613207422797016e-05,4.858350417358006e-06,4.296938785953291e-06,0.22053192323822585,0.19283645527120832,8.260380467108216e-06,1.968593168223284e-05,2.8613207422797016e-05,4.577644601655649e-06,1.528429104344843e-05
6,200708020237A,d-5,preprocessed_10s_to_120s,1.8824394577689395e-05,2.1225691751478897e-05,5.733416894939183e-05,7.338710192443728e-05,9.885775314147036e-05,4.2506634693548765e-05,3.635954855227164e-05,0.4267935952290271,0.4017902954760716,2.0025043164584146e-05,6.536063543691455e-05,9.885775314147036e-05,3.94330916229102e-05,5.591913084146982e-05
7,200708020237A,d-5,preprocessed_20s_to_120s,1.267946222350647e-05,1.3767758686906128e-05,3.4990367321517924e-05,5.583296545473778e-05,7.068738593388013e-05,2.0870824474024932e-05,1.3968932702735405e-05,0.34247970101600983,0.22871834992265694,1.32236104552063e-05,4.5411666388127855e-05,7.068738593388013e-05,1.7419878588380167e-05,3.668563534139861e-05
8,200708020237A,d-5,preprocessed_40s_to_120s,7.758378785601542e-06,8.88542172013571e-06,1.8708573479033163e-05,2.5322790429701115e-05,2.9013079833927722e-05,5.6050183771151285e-06,4.629210841561325e-06,0.25730668675180884,0.2111425313051622,8.321900252868626e-06,2.201568195436714e-05,2.9013079833927722e-05,5.117114609338227e-06,1.611694416262543e-05
9,200708020237A,d0,preprocessed_10s_to_120s,1.9158121678428376e-05,2.0759394013215188e-05,5.66285567565529e-05,7.545975932561622e-05,9.968723771043953e-05,4.501600980068367e-05,3.7745879438450366e-05,0.4267407870211354,0.3696101944479588,1.9958757845821783e-05,6.604415804108455e-05,9.968723771043953e-05,4.1380944619567016e-05,5.676777455422822e-05
10,200708020237A,d0,preprocessed_20s_to_120s,1.3204907045435198e-05,1.356171595070075e-05,3.842101914251336e-05,5.7548086323587715e-05,7.194779539269379e-05,2.3327415361674924e-05,1.5177407321398057e-05,0.3799919745659319,0.2665948802113252,1.3383311498067975e-05,4.798455273305054e-05,7.194779539269379e-05,1.925241134153649e-05,3.8142017741337196e-05
11,200708020237A,d0,preprocessed_40s_to_120s,7.966688786194459e-06,9.00489120528284e-06,2.119579648389612e-05,2.680309654784526e-05,2.9423166037804253e-05,6.171834307376045e-06,4.928378722545422e-06,0.2891711997966569,0.23373201676989955,8.48578999573865e-06,2.399944651587069e-05,2.9423166037804253e-05,5.550106514960734e-06,1.6864627266093583e-05
12,200708020237A,d10,preprocessed_10s_to_120s,2.3198823156053056e-05,2.319833391968496e-05,9.373665289809264e-05,8.586032487477443e-05,8.333113644670763e-05,7.170842967185623e-05,4.93213618678621e-05,0.5817489791633764,0.513863971815893,2.319857853786901e-05,8.979848888643354e-05,8.333113644670763e-05,6.0514895769859164e-05,6.421077491021734e-05
13,200708020237A,d10,preprocessed_20s_to_120s,1.6225810085523182e-05,2.01116296176537e-05,5.424497806390978e-05,6.958753404961726e-05,5.885991983857619e-05,2.080844434191789e-05,1.7448613251864064e-05,0.4389447939870859,0.46952156525313443,1.816871985158844e-05,6.191625605676351e-05,5.885991983857619e-05,1.9128528796890977e-05,3.9518356135954775e-05
14,200708020237A,d10,preprocessed_40s_to_120s,9.63808012209092e-06,1.072209457918967e-05,2.507148579288264e-05,3.0938144265407306e-05,2.9622360364562333e-05,4.814210687051448e-06,5.110484141234499e-06,0.3065606831802308,0.3166827765183843,1.0180087350640295e-05,2.8004815029144975e-05,2.9622360364562333e-05,4.962347414142973e-06,1.8192402539622645e-05
