,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
0,200708020237A,d-10,preprocessed_10s_to_120s,1.9431464124554945e-05,2.0285038111670436e-05,5.8909793927006556e-05,7.045852050617395e-05,9.727491768128229e-05,4.3057729076270206e-05,3.757723167724797e-05,0.45718416073368495,0.3996123860193049,1.9858251118112692e-05,6.468415721659026e-05,9.727491768128229e-05,4.031748037675909e-05,5.553370159818608e-05
1,200708020237A,d-10,preprocessed_20s_to_120s,1.2107076567648314e-05,1.4099956686402917e-05,3.290280857445698e-05,5.373891809558686e-05,6.963264942594535e-05,1.9927470932136814e-05,1.3954589477908227e-05,0.3335911637334519,0.21887560166110287,1.3103516627025615e-05,4.332086333502192e-05,6.963264942594535e-05,1.694103020502252e-05,3.574951489825385e-05
2,200708020237A,d-10,preprocessed_40s_to_120s,6.022929898102639e-06,6.395814894148589e-06,1.6853495362485216e-05,2.2588583772618158e-05,3.071934432151943e-05,4.748283767510046e-06,3.995500156580815e-06,0.23840623522597568,0.21083832410159786,6.209372396125614e-06,1.9721039567551685e-05,3.071934432151943e-05,4.3718919620454305e-06,1.5255412061810541e-05
3,200708020237A,d-15,preprocessed_10s_to_120s,2.0209039743298492e-05,2.1026433413849415e-05,6.225673101786977e-05,7.062267546206766e-05,9.598795968629032e-05,4.7486597076062494e-05,4.0098898670341527e-05,0.5072484504308682,0.4198709046780505,2.0617736578573955e-05,6.64397032399687e-05,9.598795968629032e-05,4.379274787320201e-05,5.670953684450875e-05
4,200708020237A,d-15,preprocessed_20s_to_120s,1.2025419915529815e-05,1.4599767242290095e-05,3.316390627574579e-05,5.398578182122908e-05,6.854756991551413e-05,1.9615203032306734e-05,1.4013985565643732e-05,0.34390954565166726,0.23172389437252106,1.3312593578909956e-05,4.3574844048487434e-05,6.854756991551413e-05,1.6814594298975234e-05,3.556240046047169e-05
5,200708020237A,d-15,preprocessed_40s_to_120s,6.076989823724433e-06,6.414456400964014e-06,1.5789450138514564e-05,2.2020006572491086e-05,3.076816626877856e-05,4.446704996582062e-06,3.778247445094905e-06,0.22260321888825865,0.19663172609589435,6.245723112344223e-06,1.8904728355502823e-05,3.076816626877856e-05,4.1124762208384836e-06,1.5007773489366023e-05
6,200708020237A,d-5,preprocessed_10s_to_120s,1.8824394577689395e-05,1.9814371907059596e-05,5.6918414215175526e-05,7.10748958100792e-05,9.86938995971439e-05,4.244855762882009e-05,3.702531612896586e-05,0.4258831213314929,0.38559530106624496,1.9319383242374497e-05,6.399665501262736e-05,9.86938995971439e-05,3.9736936878892974e-05,5.543671868275969e-05
7,200708020237A,d-5,preprocessed_20s_to_120s,1.2285134339295878e-05,1.3525628952688745e-05,3.457883537778099e-05,5.437851230369663e-05,7.05861433122311e-05,2.098416735162028e-05,1.449037362819506e-05,0.3412402586178499,0.22694410196035122,1.2905381645992311e-05,4.447867384073881e-05,7.05861433122311e-05,1.773727048990767e-05,3.642686732221748e-05
8,200708020237A,d-5,preprocessed_40s_to_120s,5.973459331912252e-06,6.4296575466949215e-06,1.8591226365476336e-05,2.3567432234669687e-05,3.063562094253162e-05,5.152133317121409e-06,4.303943394190314e-06,0.25809766611620566,0.23116699356434675,6.201558439303587e-06,2.107932930007301e-05,3.063562094253162e-05,4.728038355655862e-06,1.566113675939102e-05
9,200708020237A,d0,preprocessed_10s_to_120s,1.9158121678428376e-05,1.947108158450641e-05,5.622004140583467e-05,7.319349003551037e-05,9.952341992840635e-05,4.4939389838609586e-05,3.9148603467667214e-05,0.4253104008924484,0.38056915274248176,1.9314601631467395e-05,6.470676572067251e-05,9.952341992840635e-05,4.20439966531384e-05,5.6397195983421165e-05
10,200708020237A,d0,preprocessed_20s_to_120s,1.2775543878083689e-05,1.3234262872416677e-05,3.799632638045588e-05,5.6141735140259455e-05,7.185153995674842e-05,2.3401363776224403e-05,1.602481913106742e-05,0.37826243847092633,0.27405523850380314,1.3004903375250183e-05,4.7069030760357667e-05,7.185153995674842e-05,1.971309145364591e-05,3.7909641386500543e-05
11,200708020237A,d0,preprocessed_40s_to_120s,5.966737227291669e-06,6.541826905641831e-06,2.1076419697828004e-05,2.5063082183957655e-05,3.064655795222818e-05,5.6834820785947665e-06,4.728188963298806e-06,0.2861728245073957,0.26569099595913825,6.254282066466749e-06,2.3069750940892828e-05,3.064655795222818e-05,5.205835520946787e-06,1.6294106620133634e-05
12,200708020237A,d10,preprocessed_10s_to_120s,2.3086748933117558e-05,2.302526370506744e-05,9.339833929180304e-05,8.404731214398409e-05,8.323368829030406e-05,7.160347712567168e-05,5.160284097706136e-05,0.5786128821725711,0.570511787646063,2.3056006319092497e-05,8.872282571789356e-05,8.323368829030406e-05,6.160315905136652e-05,6.415391984466416e-05
13,200708020237A,d10,preprocessed_20s_to_120s,1.5460140666274006e-05,2.022802691989264e-05,5.37319999697483e-05,6.807521123765309e-05,5.862273032451212e-05,2.106921948175157e-05,1.834064320416117e-05,0.43941981092868804,0.4463242751501955,1.7844083793083323e-05,6.0903605603700695e-05,5.862273032451212e-05,1.970493134295637e-05,3.9268837766063123e-05
14,200708020237A,d10,preprocessed_40s_to_120s,7.4213492649181096e-06,7.987510143866024e-06,2.5017476895089812e-05,2.9990335955741785e-05,3.067540789504612e-05,4.5095863886571715e-06,4.102061802658664e-06,0.3110699325638237,0.32138803170018443,7.704429704392067e-06,2.75039064254158e-05,3.067540789504612e-05,4.305824095657918e-06,1.7547392030127978e-05
15,200708020237A,d15,preprocessed_10s_to_120s,2.2506399642387848e-05,2.2179269204649135e-05,0.00010046942846932758,8.832246288381298e-05,7.76390333438966e-05,6.478977326500439e-05,4.891114827076608e-05,0.6388393501929314,0.5588474179940116,2.234283442351849e-05,9.439594567657028e-05,7.76390333438966e-05,5.685046076788523e-05,6.280706855296765e-05
16,200708020237A,d15,preprocessed_20s_to_120s,1.6372349812975226e-05,2.1580099457884813e-05,6.166601227758279e-05,7.257070906607527e-05,5.462225037805033e-05,2.2862100882669137e-05,1.9131292499342923e-05,0.4732583847031895,0.49896327413981195,1.8976224635430018e-05,6.711836067182904e-05,5.462225037805033e-05,2.099669669100603e-05,4.042838309407886e-05
17,200708020237A,d15,preprocessed_40s_to_120s,8.348933944282715e-06,9.244227381662139e-06,3.77962850918937e-05,4.0119579003580493e-05,2.963489004274407e-05,5.568489457848855e-06,5.428364720807076e-06,0.5610430233504761,0.6178669619504787,8.796580662972427e-06,3.89579320477371e-05,2.963489004274407e-05,5.498427089327966e-06,2.072195746069539e-05
18,200708020237A,d5,preprocessed_10s_to_120s,2.2971073663577267e-05,2.319515021084302e-05,8.014567859715125e-05,7.478632522043442e-05,9.276701468491302e-05,6.15111954267122e-05,4.7924125312688785e-05,0.5777127402880337,0.49040423903413954,2.308311193721014e-05,7.746600190879283e-05,9.276701468491302e-05,5.471766036970049e-05,6.200844722515413e-05
19,200708020237A,d5,preprocessed_20s_to_120s,1.3354505203942006e-05,1.7398091401803262e-05,4.17528768975992e-05,5.967957428992972e-05,6.409733961570904e-05,1.866336266451356e-05,1.6685595454558735e-05,0.3232449759068398,0.3115465963151319,1.5376298302872634e-05,5.071622559376446e-05,6.409733961570904e-05,1.7674479059536148e-05,3.696608564297057e-05
20,200708020237A,d5,preprocessed_40s_to_120s,6.4709791479625736e-06,6.790677705241694e-06,1.603456077150569e-05,2.3102924054514584e-05,3.1510869443783816e-05,3.7555751105984332e-06,3.3946280401632628e-06,0.19610546759131928,0.19248503248686252,6.630828426602134e-06,1.9568742413010137e-05,3.1510869443783816e-05,3.5751015753808482e-06,1.5321385464694233e-05
21,200710061238A,d-10,preprocessed_10s_to_120s,1.1883139753745402e-05,1.103271846103772e-05,2.6444374604795977e-05,4.523315473697774e-05,9.709020686285511e-05,1.6635429155856074e-05,1.2532553952345786e-05,1.025611097375566,0.934482254493165,1.145792910739156e-05,3.583876467088686e-05,9.709020686285511e-05,1.4583991554100931e-05,3.974272304880862e-05
22,200710061238A,d-10,preprocessed_20s_to_120s,5.597693518145126e-06,7.422092102155362e-06,1.9396129776195302e-05,3.0616277785112776e-05,6.65385738063902e-05,7.308709006397598e-06,6.529329114376856e-06,0.3451227799020138,0.4606657804453798,6.509892810150244e-06,2.5006203780654037e-05,6.65385738063902e-05,6.9190190603872265e-06,2.6243422364395428e-05
23,200710061238A,d-10,preprocessed_40s_to_120s,2.2580685556896165e-06,3.0044771094338093e-06,6.329731787152287e-06,1.0026855234591308e-05,1.6641258986919505e-05,1.3443631372996572e-06,1.6089054119330534e-06,0.36093050844375035,0.42938335421041507,2.6312728325617127e-06,8.178293510871798e-06,1.6641258986919505e-05,1.4766342746163554e-06,7.231864901242342e-06
24,200710061238A,d-15,preprocessed_10s_to_120s,1.1777648758481155e-05,1.076545387759267e-05,2.7339374560101177e-05,5.0407395935404926e-05,0.00010290513080982232,1.6577852568424754e-05,1.3310617874301073e-05,1.0434751942113842,0.9765723328134125,1.1271551318036912e-05,3.887338524775305e-05,0.00010290513080982232,1.4944235221362914e-05,4.19985756492438e-05
25,200710061238A,d-15,preprocessed_20s_to_120s,5.5535178316743876e-06,7.3390290563038814e-06,1.9012755067736587e-05,3.162655890679897e-05,6.992847062757182e-05,7.110691893538178e-06,6.336169678277542e-06,0.34260379559612997,0.46573932025661097,6.4462734439891345e-06,2.5319656987267777e-05,6.992847062757182e-05,6.72343078590786e-06,2.7104457961184152e-05
26,200710061238A,d-15,preprocessed_40s_to_120s,2.1450018545385647e-06,3.0519254588952975e-06,6.98473195946874e-06,1.0360152549006502e-05,1.7176451909019753e-05,1.2763606148541887e-06,1.5671247890067653e-06,0.3441247914996878,0.43421602851000124,2.5984636567169313e-06,8.67244225423762e-06,1.7176451909019753e-05,1.421742701930477e-06,7.467275130476195e-06
27,200710061238A,d-5,preprocessed_10s_to_120s,1.1760317059279165e-05,1.1393218823779777e-05,2.6443465594841863e-05,4.2553920148031524e-05,9.204702462135157e-05,1.4596475141903216e-05,1.1009795333428469e-05,0.9742920512810137,0.8808459484423342,1.1576767941529471e-05,3.449869287143669e-05,9.204702462135157e-05,1.2803135237665843e-05,3.7731405167995896e-05
28,200710061238A,d-5,preprocessed_20s_to_120s,5.496317659441598e-06,7.460916816040338e-06,1.9234495389979332e-05,2.9500966682426458e-05,6.201279135952731e-05,7.215470198479964e-06,6.538786520592556e-06,0.34634396629802566,0.46128984493333686,6.478617237740968e-06,2.4367731036202895e-05,6.201279135952731e-05,6.87712835953626e-06,2.4934066998251858e-05
29,200710061238A,d-5,preprocessed_40s_to_120s,2.3172418583254746e-06,3.0943753974120434e-06,6.324915231510682e-06,1.0052950918307233e-05,1.6146364807698906e-05,1.3749910933059322e-06,1.6205748547862533e-06,0.3669726976407913,0.4288923719392184,2.705808627868759e-06,8.188933074908957e-06,1.6146364807698906e-05,1.4977829740460927e-06,7.134722371130678e-06
30,200710061238A,d0,preprocessed_10s_to_120s,1.1472519952239961e-05,1.1544177955362033e-05,2.6852215746154587e-05,3.8860514025360915e-05,8.384337983976995e-05,1.2971580982102308e-05,9.822052499462995e-06,0.9169789878660735,0.8295902228945835,1.1508348953800997e-05,3.285636488575775e-05,8.384337983976995e-05,1.1396816740782652e-05,3.490122760502784e-05
31,200710061238A,d0,preprocessed_20s_to_120s,5.434564386697999e-06,7.513296582266092e-06,1.9029396061292314e-05,2.861956834875272e-05,5.8026470756143034e-05,7.5307803398391326e-06,6.15254006654627e-06,0.4159841891941635,0.44407767680766325,6.473930484482046e-06,2.3824482205022515e-05,5.8026470756143034e-05,6.841660203192701e-06,2.3791635912210073e-05
32,200710061238A,d0,preprocessed_40s_to_120s,2.3259042316677235e-06,3.2435113902749837e-06,6.758006907588655e-06,1.030953238357796e-05,1.5465433085359423e-05,1.3974323700347498e-06,1.6281218486672633e-06,0.38282145351277685,0.42898180934708063,2.7847078109713536e-06,8.533769645583308e-06,1.5465433085359423e-05,1.5127771093510067e-06,7.074171912816273e-06
33,200710061238A,d10,preprocessed_10s_to_120s,1.1031219935542192e-05,1.13722451198238e-05,2.7277452004038632e-05,3.6332313287997274e-05,7.341609086103806e-05,1.0380259087419732e-05,8.445685726887499e-06,0.796100822959521,0.7379734410788744,1.1201732527682995e-05,3.1804882646017956e-05,7.341609086103806e-05,9.412972407153616e-06,3.1458919610473155e-05
34,200710061238A,d10,preprocessed_20s_to_120s,5.399653221363741e-06,7.64667591255708e-06,1.8856860624589132e-05,2.632170759330714e-05,5.15214978127997e-05,7.255984181798558e-06,5.830627085390199e-06,0.4321866709489266,0.45315425502399337,6.523164566960411e-06,2.2589284108948136e-05,5.15214978127997e-05,6.543305633594378e-06,2.1794313030575658e-05
