netsta,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
1U.JGPD,3.7677045454545453,2.252095454545454,2.6786636363636367,82.8895,49.54609999999999,58.930600000000005,22
1U.MDPD,3.3057346153846154,1.5957115384615386,3.052896153846155,85.9491,41.4885,79.37530000000002,26
1U.PDBD,3.906576923076923,1.9124615384615387,3.4595692307692305,50.7855,24.862000000000002,44.974399999999996,13
1U.PSRD,6.845712903225808,3.770325806451613,3.61978064516129,212.21710000000004,116.88010000000001,112.2132,31
1U.SHRD,5.784451162790698,4.396072093023255,4.470846511627906,248.7314,189.03109999999998,192.24639999999997,43
1U.SMSD,1.6379538461538463,2.172169230769231,4.828507692307691,63.8802,84.71460000000002,188.31179999999998,39
8B.374,3.1151642857142856,1.0429357142857143,5.377721428571428,43.6123,14.601099999999999,75.2881,14
8B.375,3.926,6.9604,5.3384,3.926,6.9604,5.3384,1
8B.376,3.993892307692307,4.658592307692308,4.40423076923077,51.92059999999999,60.5617,57.25500000000001,13
8B.377,4.357311111111111,3.3394777777777778,6.750277777777779,39.215799999999994,30.0553,60.75250000000001,9
8B.378,4.441177777777777,2.1101777777777775,5.398961111111112,79.94119999999998,37.9832,97.18130000000002,18
8B.379,3.7424999999999997,3.7654666666666667,4.137266666666666,11.2275,11.2964,12.4118,3
8B.380,-0.15764999999999996,-0.1863222222222222,3.2480555555555544,-2.8376999999999994,-3.3537999999999997,58.46499999999998,18
8B.381,2.316305555555555,0.9571666666666666,7.384116666666666,41.69349999999999,17.229,132.9141,18
8B.382,3.5832333333333333,0.6067222222222222,2.964627777777778,64.4982,10.921,53.3633,18
8B.383,4.517777777777777,4.854477777777778,3.346116666666666,81.32,87.38060000000002,60.23009999999999,18
8B.384,2.3586666666666667,2.5757666666666665,5.806288888888889,42.456,46.3638,104.5132,18
8B.385,1.2763277777777777,0.12161111111111073,8.989555555555558,22.9739,2.188999999999993,161.81200000000004,18
8B.386,4.361011764705882,2.111888235294117,6.488417647058823,74.13719999999999,35.90209999999999,110.30309999999999,17
8B.387,1.9268249999999998,1.6863624999999998,5.227424999999999,30.829199999999997,26.981799999999996,83.63879999999999,16
8B.388,4.591471428571428,3.9217714285714282,7.700121428571428,64.28059999999999,54.904799999999994,107.8017,14
8B.389,2.5402000000000005,1.3341222222222222,5.5698444444444455,45.723600000000005,24.0142,100.25720000000001,18
8B.390,3.403538888888889,0.9943333333333335,4.226588888888888,61.2637,17.898000000000003,76.0786,18
8B.391,3.8348928571428575,1.9205214285714285,5.906128571428573,53.688500000000005,26.8873,82.68580000000001,14
8B.392,4.329550000000001,5.002927777777779,3.782833333333333,77.93190000000001,90.05270000000002,68.091,18
8B.393,4.038405555555556,1.148988888888889,5.791811111111112,72.69130000000001,20.681800000000003,104.25260000000002,18
8B.394,4.19126111111111,4.173072222222222,5.682538888888889,75.44269999999999,75.1153,102.2857,18
8B.395,4.6948444444444455,1.3157166666666664,7.085905555555556,84.50720000000001,23.682899999999997,127.5463,18
8B.396,4.270321428571429,2.706814285714285,3.119592857142858,59.78450000000001,37.895399999999995,43.67430000000001,14
8B.397,3.487907692307692,2.414269230769231,4.54126923076923,45.3428,31.3855,59.0365,13
8B.398,0.9175230769230768,1.0124615384615383,2.906961538461538,11.927799999999998,13.161999999999997,37.790499999999994,13
8B.399,4.0620400000000005,2.08418,4.40152,20.310200000000002,10.4209,22.0076,5
8B.400,3.125238888888889,2.3564333333333334,6.722505555555554,56.2543,42.415800000000004,121.00509999999998,18
8B.401,6.991333333333333,5.436044444444445,4.514033333333334,125.84400000000001,97.8488,81.2526,18
8B.402,2.9822583333333337,3.4416333333333338,0.7813916666666666,35.7871,41.299600000000005,9.3767,12
8B.403,2.9849083333333333,1.1898416666666671,7.437683333333332,35.8189,14.278100000000006,89.25219999999999,12
8B.404,2.4336083333333334,2.9579416666666667,2.8912999999999993,29.2033,35.4953,34.69559999999999,12
8B.405,1.6277166666666667,0.5758333333333334,4.260955555555556,29.2989,10.365000000000002,76.69720000000001,18
8B.406,2.254205555555556,1.8567888888888886,3.921766666666667,40.575700000000005,33.4222,70.5918,18
8B.407,3.0366888888888885,2.8219111111111115,6.437155555555556,54.660399999999996,50.79440000000001,115.86880000000001,18
8B.408,3.2577000000000003,2.4409111111111113,3.6564055555555552,58.638600000000004,43.936400000000006,65.8153,18
8B.409,3.013494444444445,0.9021111111111111,4.5537833333333335,54.242900000000006,16.238,81.9681,18
8B.410,2.952122222222221,2.2446055555555557,5.099505555555556,53.13819999999998,40.4029,91.7911,18
8B.411,4.5401444444444445,3.296905555555556,6.890899999999999,81.7226,59.344300000000004,124.0362,18
8B.412,4.121088888888888,2.9038722222222226,3.1708166666666666,74.1796,52.26970000000001,57.0747,18
8B.413,1.1485529411764706,0.9255176470588232,1.963605882352941,19.525399999999998,15.733799999999995,33.381299999999996,17
8B.414,3.2864000000000004,3.2319999999999998,6.344088235294117,55.86880000000001,54.943999999999996,107.84949999999999,17
