time,latitude,longitude,depth,depthUnits,magnitude,magnitudeType,magnitudeContributor,catalog,contributor,name,flinnEngdahlRegion,flinnEngdahlRegionType
2009-01-19T17:28:58.780000Z,7.69,127.06,24170.0,METER,5.07,mw,,,,PHILIPPINE ISLANDS REGION,0,1
2009-03-05T15:49:55.030000Z,15.48,96.09,12000.0,METER,5.08,mw,,,,NEAR SOUTH COAST OF MYANMAR,0,1
2009-03-11T12:58:47.080000Z,10.85,91.95,15000.0,METER,5.12,mw,,,,"ANDAMAN ISLANDS, INDIA REGION",0,1
2009-03-13T09:07:05.840000Z,43.37,133.91,444540.0,METER,5.26,mw,,,,"PRIMOR'YE, RUSSIA",0,1
2009-04-17T14:52:01.850000Z,46.06,151.97,50140.0,METER,5.61,mw,,,,KURIL ISLANDS,0,1
2009-04-20T07:22:40.990000Z,27.09,129.91,12000.0,METER,5.07,mw,,,,"RYUKYU ISLANDS, JAPAN",0,1
2009-04-21T05:26:15.070000Z,50.64,155.59,151840.0,METER,6.19,mw,,,,KURIL ISLANDS,0,1
2009-04-23T02:11:47.260000Z,55.83,161.53,147480.0,METER,5.18,mw,,,,NEAR EAST COAST OF KAMCHATKA,0,1
2009-05-01T12:57:10.790000Z,26.21,140.36,414740.0,METER,5.29,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2009-06-22T23:10:06.170000Z,12.11,95.12,12000.0,METER,5.18,mw,,,,"ANDAMAN ISLANDS, INDIA REGION",0,1
2009-07-04T00:41:50.450000Z,13.8,120.61,132300.0,METER,5.2,mw,,,,"MINDORO, PHILIPPINES",0,1
2009-07-10T00:49:13.580000Z,47.78,148.39,387660.0,METER,5.35,mw,,,,NORTHWEST OF KURIL ISLANDS,0,1
2009-07-10T09:02:03.980000Z,25.54,101.1,14860.0,METER,5.15,mw,,,,"YUNNAN, CHINA",0,1
2009-07-11T15:19:34.860000Z,10.0,122.06,19300.0,METER,5.14,mw,,,,"PANAY, PHILIPPINES",0,1
2009-07-16T06:29:05.660000Z,42.39,133.24,485470.0,METER,5.29,mw,,,,"PRIMOR'YE, RUSSIA",0,1
2009-07-26T21:49:25.680000Z,10.76,94.46,12000.0,METER,5.09,mw,,,,"ANDAMAN ISLANDS, INDIA REGION",0,1
2009-08-03T14:18:30.840000Z,19.0,145.54,230540.0,METER,5.2,mw,,,,MARIANA ISLANDS,0,1
2009-08-09T10:55:58.790000Z,33.05,138.19,301770.0,METER,7.06,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
