net|sta|evtnum|mean(azimuth)|std|median|mad|starttime|endtime
AH|ANQ|22|5.14|10.98|4.33|4.86|2007-08-08T17:04:00Z|2007-10-23T19:56:00Z
AH|ANQ|35|3.33|8.28|4.08|6.60|2007-10-25T13:50:00Z|2008-05-31T04:37:00Z
AH|ANQ|231|-3.59|5.17|-3.10|4.18|2008-06-22T23:56:00Z|2012-11-19T09:44:00Z
AH|ANQ|45|0.90|4.11|0.54|3.05|2012-12-07T18:19:00Z|2013-09-01T11:52:00Z
AH|BAS|130|8.46|10.14|10.23|4.50|2008-03-11T14:37:00Z|2010-04-11T09:40:00Z
AH|BAS|26|-3.55|11.79|-1.04|3.53|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|BEB|38|-0.83|10.77|-0.81|5.73|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|BZY|52|-1.26|8.45|-2.31|4.05|2007-08-01T17:08:00Z|2008-08-30T06:54:00Z
AH|BZY|16|-8.10|9.47|-9.56|8.87|2008-09-06T05:47:00Z|2009-04-18T19:17:00Z
AH|CHZ|35|-2.23|11.02|-0.83|5.14|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|DYN|101|66.71|6.26|66.86|3.83|2007-08-27T17:11:00Z|2008-11-03T19:21:00Z
AH|DYN|148|65.59|6.66|66.00|3.39|2008-11-06T09:11:00Z|2011-04-22T17:14:00Z
AH|DYN|162|4.93|4.44|5.22|3.21|2011-04-26T06:39:00Z|2013-08-12T00:53:00Z
AH|FZL|327|3.04|11.37|1.71|7.47|2008-05-02T01:33:00Z|2013-09-01T11:52:00Z
AH|HBE|64|13.63|5.46|13.70|3.91|2007-08-01T17:08:00Z|2008-06-10T04:13:00Z
AH|HBE|70|10.28|5.96|10.74|5.10|2008-06-22T07:22:00Z|2009-05-24T00:58:00Z
AH|HBE|236|10.92|6.21|11.48|5.14|2009-06-14T03:36:00Z|2012-07-25T11:20:00Z
AH|HBE|32|-29.69|6.46|-30.23|3.68|2012-07-28T20:03:00Z|2013-01-21T22:22:00Z
AH|HBE|58|1.71|5.32|2.10|4.99|2013-01-28T16:38:00Z|2013-09-01T11:52:00Z
AH|HEF|13|-12.75|7.33|-10.29|3.11|2007-08-08T17:04:00Z|2007-10-16T21:05:00Z
AH|HEF|58|-9.22|5.11|-9.29|3.71|2007-10-31T13:44:00Z|2010-02-01T22:28:00Z
AH|HEF|174|-2.46|5.67|-1.93|3.84|2010-02-13T02:34:00Z|2013-08-12T04:16:00Z
AH|HNA|154|1.68|8.58|2.48|4.73|2008-03-22T21:24:00Z|2010-06-26T09:50:00Z
AH|HNA|203|1.69|6.57|1.85|5.97|2010-07-18T19:48:00Z|2013-09-01T11:52:00Z
AH|HSH|108|-183.73|12.04|-180.53|5.63|2007-09-12T23:49:00Z|2010-05-27T17:14:00Z
AH|HSH|67|39.71|5.98|39.93|4.42|2011-07-31T23:38:00Z|2013-04-14T01:32:00Z
AH|HSH|19|-0.82|4.44|-0.49|5.52|2013-04-16T10:44:00Z|2013-08-12T04:16:00Z
AH|HUS|59|-4.29|4.56|-4.26|2.56|2007-08-01T17:08:00Z|2008-07-06T01:00:00Z
AH|HUS|129|2.89|5.93|2.20|3.66|2008-07-06T09:08:00Z|2010-08-16T03:30:00Z
AH|HUS|122|1.24|5.54|1.96|3.15|2010-08-21T05:42:00Z|2013-03-01T12:53:00Z
AH|HUS|35|1.19|3.59|1.33|3.54|2013-04-06T04:42:00Z|2013-09-01T11:52:00Z
AH|JAS|69|4.60|3.24|4.72|2.94|2007-08-01T17:08:00Z|2010-07-25T03:39:00Z
AH|JAS|89|-2.48|3.88|-2.80|2.82|2010-08-20T17:56:00Z|2012-11-19T09:44:00Z
AH|JAS|21|3.40|3.80|3.84|4.76|2013-04-19T19:58:00Z|2013-09-01T11:52:00Z
AH|JIX|19|-3.84|8.44|-2.56|9.25|2007-08-01T17:08:00Z|2008-01-22T17:14:00Z
AH|JIX|163|-3.93|6.01|-3.35|5.38|2008-03-03T09:31:00Z|2011-05-10T08:55:00Z
AH|JIX|88|6.44|5.84|7.13|5.84|2011-05-15T18:37:00Z|2013-01-05T08:58:00Z
AH|JIX|32|2.33|5.41|3.37|3.94|2013-01-28T16:38:00Z|2013-09-01T11:52:00Z
AH|JZA|20|62.89|13.64|65.68|4.09|2010-09-07T00:57:00Z|2011-05-10T08:55:00Z
AH|JZA|162|8.07|7.73|8.41|5.51|2011-05-14T21:07:00Z|2013-09-01T11:52:00Z
AH|LAN|56|58.97|6.39|57.47|4.61|2007-08-01T17:08:00Z|2008-03-12T11:23:00Z
AH|LAN|78|63.40|7.96|62.48|7.82|2008-03-15T14:43:00Z|2009-05-16T00:53:00Z
AH|LAN|168|34.08|6.68|33.30|7.25|2009-05-16T18:22:00Z|2012-05-24T22:47:00Z
AH|LAN|35|28.78|8.75|29.69|5.97|2012-05-29T07:00:00Z|2013-01-28T16:38:00Z
AH|LAN|39|1.73|7.14|0.36|5.77|2013-02-06T00:07:00Z|2013-08-12T04:16:00Z
AH|LNA|83|-2.17|6.29|-2.09|4.05|2007-08-01T17:08:00Z|2009-04-21T05:26:00Z
AH|MAS|91|4.74|5.25|5.28|3.59|2008-03-26T18:33:00Z|2009-09-02T07:55:00Z
AH|MAS|46|14.55|4.65|14.73|3.89|2009-09-07T16:12:00Z|2010-05-31T19:51:00Z
AH|MAS|49|-3.95|7.28|-1.36|7.61|2010-06-12T19:26:00Z|2013-09-01T11:52:00Z
AH|MCG|166|1.31|4.18|1.73|3.54|2011-04-24T23:07:00Z|2013-09-01T11:52:00Z
AH|MCG1|74|58.22|4.19|58.05|4.00|2008-06-10T04:13:00Z|2009-07-07T19:11:00Z
AH|SCH|56|1.30|10.74|0.80|5.90|2007-12-19T09:30:00Z|2010-03-20T14:00:00Z
AH|SCH|43|60.96|13.18|62.84|5.75|2010-04-05T10:05:00Z|2011-02-21T10:57:00Z
AH|SCH|47|49.67|6.85|48.87|4.15|2011-03-07T00:09:00Z|2012-04-06T16:15:00Z
AH|SCH|30|-1.58|4.58|-1.86|3.14|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
AH|SIX|206|1.12|14.50|1.22|4.56|2008-03-22T21:24:00Z|2011-01-09T10:03:00Z
AH|SJH|57|-3.15|10.31|-2.15|6.03|2007-08-01T17:08:00Z|2008-05-09T21:51:00Z
AH|SJH|22|2.62|7.16|1.25|5.13|2008-09-06T05:47:00Z|2009-03-30T07:13:00Z
AH|TOL|222|-0.93|7.04|-0.54|4.14|2008-03-22T21:24:00Z|2012-09-03T18:23:00Z
AH|TOL|58|-0.26|4.32|0.01|4.32|2012-10-12T00:31:00Z|2013-09-01T11:52:00Z
BJ|BBS|194|-3.77|6.78|-3.80|4.81|2007-09-02T01:05:00Z|2011-07-20T22:04:00Z
BJ|BBS|50|5.57|4.58|5.66|1.93|2012-03-20T17:56:00Z|2013-03-13T03:12:00Z
BJ|DHC|589|-5.20|5.99|-5.77|5.54|2007-09-12T11:10:00Z|2013-04-14T01:32:00Z
BJ|DHC|24|-1.42|8.64|-1.42|3.10|2013-04-16T10:44:00Z|2013-07-03T19:21:00Z
BJ|DHC|12|1.08|7.85|0.53|9.40|2013-07-06T05:05:00Z|2013-09-01T11:52:00Z
BJ|LBP|114|-8.17|5.63|-7.37|3.62|2007-09-12T11:10:00Z|2009-02-12T03:49:00Z
BJ|LBP|123|-4.42|4.92|-4.05|2.91|2009-02-12T13:15:00Z|2010-08-04T07:15:00Z
BJ|LBP|93|13.96|5.42|14.51|4.18|2010-08-04T12:58:00Z|2011-10-06T07:37:00Z
BJ|LBP|96|13.80|5.98|14.84|3.77|2011-10-23T20:45:00Z|2013-03-24T04:18:00Z
BJ|LBP|39|1.05|7.52|0.78|5.93|2013-04-06T04:42:00Z|2013-09-01T11:52:00Z
BJ|LLM|248|-0.28|5.49|0.23|4.68|2007-08-26T12:37:00Z|2010-04-05T10:05:00Z
BJ|LLM|207|0.76|5.32|0.88|4.37|2010-04-17T23:15:00Z|2012-04-24T14:57:00Z
BJ|LLM|83|-1.58|5.82|-0.90|5.53|2012-04-25T07:42:00Z|2013-03-24T08:13:00Z
BJ|LLM|40|2.23|4.90|2.33|6.49|2013-04-09T11:52:00Z|2013-09-02T04:30:00Z
BJ|MIY|491|-10.16|6.81|-11.32|6.54|2007-08-26T12:37:00Z|2013-02-20T00:09:00Z
BJ|MIY|39|0.93|5.68|0.46|4.60|2013-02-23T08:59:00Z|2013-09-01T11:52:00Z
BJ|NKY|65|-14.37|6.28|-12.14|4.03|2007-09-12T11:10:00Z|2008-03-11T14:37:00Z
BJ|NKY|115|-13.92|5.74|-13.48|4.03|2008-03-15T14:43:00Z|2009-10-07T20:52:00Z
BJ|NKY|324|-13.69|5.54|-13.31|4.20|2009-10-08T08:28:00Z|2013-02-23T14:31:00Z
BJ|NKY|45|1.27|5.25|1.76|5.04|2013-02-28T14:05:00Z|2013-09-01T11:52:00Z
BJ|SSL|224|1.67|7.28|1.68|4.03|2007-09-12T11:10:00Z|2010-06-01T16:47:00Z
BJ|SSL|147|0.94|6.59|1.32|3.45|2010-06-12T19:26:00Z|2012-05-12T23:28:00Z
BJ|SSL|82|-0.14|6.90|1.06|3.28|2012-05-29T02:40:00Z|2013-09-01T11:52:00Z
BJ|XBZ|40|-12.33|7.46|-11.77|3.65|2009-10-04T10:58:00Z|2010-04-11T02:19:00Z
BJ|XBZ|98|-12.68|5.13|-12.10|3.84|2010-07-18T13:04:00Z|2011-11-05T01:49:00Z
BJ|XBZ|151|1.96|5.45|2.68|4.58|2011-11-09T19:23:00Z|2013-09-02T04:30:00Z
BJ|ZHT|105|3.22|8.31|3.97|3.85|2007-08-26T12:37:00Z|2008-06-15T01:13:00Z
BJ|ZHT|372|4.31|6.14|5.01|4.19|2008-06-22T07:22:00Z|2012-09-03T06:49:00Z
BJ|ZHT|79|3.88|5.17|4.62|4.70|2012-09-05T13:09:00Z|2013-08-31T06:38:00Z
BU|BDH|135|-5.19|11.60|-4.68|4.95|2007-09-12T11:10:00Z|2009-07-01T21:10:00Z
BU|BDH|128|-1.16|14.87|-2.88|6.15|2009-10-07T21:41:00Z|2011-04-24T23:07:00Z
BU|BDH|133|0.01|8.30|0.16|5.09|2011-05-10T08:55:00Z|2013-09-01T11:52:00Z
BU|BJT|173|0.69|5.61|0.86|4.37|2009-05-29T06:20:00Z|2010-12-15T11:29:00Z
BU|BJT|265|-0.07|5.26|0.35|4.34|2010-12-20T18:41:00Z|2013-09-02T04:30:00Z
BU|CDT|82|-134.85|5.04|-134.50|4.43|2010-01-02T08:45:00Z|2010-12-02T03:12:00Z
BU|CDT|75|3.07|6.94|4.49|5.35|2011-04-22T17:14:00Z|2012-04-23T21:21:00Z
BU|CDT|104|1.61|6.41|2.70|4.79|2012-04-29T08:09:00Z|2013-09-02T04:30:00Z
BU|CHL|25|-2.58|11.00|-1.34|6.75|2007-09-12T11:10:00Z|2007-11-02T12:40:00Z
BU|CHL|71|-4.67|8.49|-3.54|4.31|2007-11-12T00:25:00Z|2008-11-16T17:02:00Z
BU|CHL|171|-2.58|5.58|-2.16|4.69|2008-12-06T10:55:00Z|2010-10-25T22:59:00Z
BU|CHL|219|3.29|6.17|3.77|4.82|2010-11-03T23:34:00Z|2013-09-01T11:52:00Z
BU|DOH|231|96.78|10.06|97.40|6.46|2007-09-20T08:31:00Z|2011-01-09T10:03:00Z
BU|DOH|105|1.14|5.00|1.57|4.64|2011-06-16T00:03:00Z|2013-09-01T11:52:00Z
BU|FHS|53|-3.07|6.15|-3.31|6.30|2010-03-30T16:54:00Z|2010-12-25T13:16:00Z
BU|FHS|36|4.05|6.22|4.61|4.78|2011-01-09T17:21:00Z|2012-04-21T01:16:00Z
BU|FHS|84|-1.26|6.07|-0.99|5.72|2012-04-26T19:21:00Z|2013-09-01T11:52:00Z
BU|GUY|145|-113.51|11.44|-114.13|4.21|2008-11-08T09:15:00Z|2011-03-07T00:09:00Z
BU|GUY|66|1.52|10.46|2.75|4.14|2011-03-10T17:08:00Z|2012-04-16T02:17:00Z
BU|GUY|71|2.73|10.49|1.38|5.93|2012-04-21T01:16:00Z|2013-08-21T04:43:00Z
BU|HBZ|98|0.51|10.92|0.04|8.61|2007-11-10T23:19:00Z|2008-11-16T17:02:00Z
BU|HBZ|151|2.81|8.64|3.32|7.55|2008-11-28T08:50:00Z|2010-09-30T03:45:00Z
BU|HBZ|98|7.78|10.67|6.62|8.61|2010-10-16T15:44:00Z|2012-06-14T20:17:00Z
BU|HBZ|86|2.34|6.02|1.97|5.46|2012-06-23T04:34:00Z|2013-09-02T04:30:00Z
BU|HUA|32|-23.23|14.41|-19.61|4.24|2007-11-12T00:25:00Z|2008-05-24T13:24:00Z
BU|HUA|59|-19.31|11.02|-18.52|5.41|2008-07-25T00:29:00Z|2011-03-17T02:48:00Z
BU|HUA|114|3.45|4.82|3.70|4.23|2011-04-03T20:06:00Z|2013-09-01T11:52:00Z
BU|LAY|30|-2.24|12.90|-1.00|4.44|2007-09-29T05:32:00Z|2008-03-24T07:02:00Z
BU|LAY|179|-0.53|8.43|0.22|3.69|2008-03-29T17:30:00Z|2012-06-14T20:17:00Z
BU|LAY|91|-0.12|5.26|0.29|3.97|2012-06-24T03:15:00Z|2013-09-02T04:30:00Z
BU|LBG|124|2.50|10.29|2.73|6.15|2010-03-13T14:59:00Z|2013-09-01T11:52:00Z
BU|LQS|350|-2.75|5.91|-2.43|5.27|2007-09-12T11:10:00Z|2010-11-03T23:34:00Z
BU|LQS|238|3.04|5.25|3.24|4.67|2010-11-16T01:39:00Z|2013-09-01T11:52:00Z
BU|MDY|50|12.58|11.22|12.78|7.07|2007-09-26T12:36:00Z|2008-08-06T22:41:00Z
BU|MDY|63|14.20|10.23|15.19|7.74|2009-01-15T07:27:00Z|2010-12-21T14:07:00Z
BU|MDY|173|3.81|6.58|4.30|5.93|2010-12-23T14:00:00Z|2013-09-01T11:52:00Z
BU|NSC|29|5.77|6.91|6.83|3.65|2010-04-17T23:15:00Z|2010-07-23T22:51:00Z
BU|NSC|56|3.08|6.94|3.58|6.53|2010-07-30T03:56:00Z|2011-08-20T16:55:00Z
BU|NSC|168|0.30|4.26|0.16|3.94|2011-08-30T06:57:00Z|2013-09-01T11:52:00Z
BU|SFS|186|-2.55|12.14|-1.67|7.05|2007-09-12T11:10:00Z|2010-04-17T23:15:00Z
BU|SFS|213|2.43|9.89|2.16|6.00|2010-10-08T03:26:00Z|2013-09-02T04:30:00Z
BU|SHC|49|-1.79|10.55|-3.13|5.13|2007-11-10T23:19:00Z|2008-08-13T18:30:00Z
BU|SHC|23|15.30|7.13|16.63|6.09|2008-08-28T12:37:00Z|2009-07-13T10:52:00Z
BU|SHC|35|28.37|7.90|29.06|7.15|2009-07-15T20:10:00Z|2011-03-07T00:09:00Z
BU|SHC|96|5.32|6.08|5.27|3.77|2011-04-03T14:07:00Z|2012-04-21T01:16:00Z
BU|SHC|122|1.73|5.77|2.38|4.33|2012-04-24T14:57:00Z|2013-09-01T11:52:00Z
BU|SZL|81|-7.30|14.21|-5.35|7.61|2007-10-02T18:00:00Z|2009-11-09T16:02:00Z
BU|SZL|81|-6.07|6.14|-7.60|6.49|2010-10-16T15:44:00Z|2011-11-14T04:05:00Z
BU|SZL|123|1.46|5.46|1.81|3.84|2011-11-15T23:42:00Z|2013-09-01T11:52:00Z
BU|TAS|196|3.87|6.79|3.75|5.92|2011-04-01T13:29:00Z|2013-09-02T04:30:00Z
BU|TST|49|176.56|13.73|175.64|4.91|2007-10-31T03:30:00Z|2008-04-17T17:02:00Z
BU|TST|87|1.69|7.38|0.72|7.01|2011-05-15T18:37:00Z|2013-07-03T03:40:00Z
BU|WAX|123|-123.45|3.87|-123.69|3.38|2009-12-09T21:29:00Z|2010-12-21T14:07:00Z
BU|WAX|130|-117.94|11.27|-119.52|3.55|2010-12-23T14:00:00Z|2013-01-05T08:58:00Z
BU|WAX|60|0.48|4.70|0.26|2.91|2013-02-06T00:07:00Z|2013-09-02T04:30:00Z
BU|XUH|100|1.09|8.19|0.35|3.62|2007-09-27T19:57:00Z|2009-08-16T12:49:00Z
BU|XUH|157|5.51|5.97|5.44|4.73|2011-03-31T00:11:00Z|2013-09-02T04:30:00Z
BU|ZHL|67|97.19|11.10|95.58|4.52|2007-09-12T11:10:00Z|2008-06-22T23:56:00Z
BU|ZHL|81|93.64|15.00|94.17|5.03|2008-07-14T04:44:00Z|2011-03-17T02:48:00Z
BU|ZHL|79|2.05|6.61|2.30|4.42|2011-03-26T22:49:00Z|2012-07-25T00:27:00Z
BU|ZHL|16|-31.79|11.11|-31.77|5.59|2012-07-25T11:20:00Z|2012-11-02T18:17:00Z
BU|ZHL|45|2.33|4.59|1.90|2.95|2012-11-12T20:42:00Z|2013-09-01T11:52:00Z
BU|ZJT|309|-1.38|5.85|-1.60|4.09|2009-12-27T13:19:00Z|2013-09-02T04:30:00Z
BU|ZKD|227|0.84|6.24|0.57|5.26|2010-10-10T06:08:00Z|2013-09-01T11:52:00Z
BU|ZUH|78|-129.41|4.73|-129.37|2.67|2009-12-09T09:46:00Z|2010-12-21T14:07:00Z
BU|ZUH|175|-0.62|3.89|-0.52|3.16|2011-05-14T21:07:00Z|2013-09-01T11:52:00Z
CC|AXX|39|0.16|4.34|0.12|4.17|2008-07-05T02:12:00Z|2009-03-30T12:07:00Z
CC|CAD|52|-1.96|7.40|-1.48|5.57|2008-07-05T02:12:00Z|2009-03-30T12:07:00Z
CC|CD2|14|-7.10|10.55|-4.94|1.84|2008-07-05T02:12:00Z|2008-09-11T00:20:00Z
CC|CD2|19|-3.89|3.39|-4.30|3.54|2008-10-23T10:04:00Z|2009-03-28T17:59:00Z
CC|CN2|21|-5.53|7.51|-4.04|3.99|2008-07-14T04:44:00Z|2008-11-02T13:48:00Z
CC|CN2|17|-6.97|4.09|-7.29|4.00|2008-11-16T12:20:00Z|2009-03-30T12:07:00Z
CC|CNS|23|-4.22|7.52|-3.74|3.56|2008-07-05T02:12:00Z|2008-10-07T10:00:00Z
CC|CNS|23|-4.84|8.01|-6.14|2.49|2008-10-19T05:10:00Z|2009-01-22T13:40:00Z
CC|DL2|39|0.15|4.99|0.21|3.85|2008-07-14T04:44:00Z|2009-03-30T12:07:00Z
CC|GAN|121|1.35|6.27|2.11|5.16|2007-09-12T11:10:00Z|2008-11-27T17:31:00Z
CC|GAN|30|3.45|5.96|3.84|4.34|2008-12-06T10:55:00Z|2009-04-15T20:01:00Z
CC|GTA|58|0.85|4.06|0.56|3.75|2008-07-05T02:12:00Z|2009-03-30T12:11:00Z
CC|GYA|54|3.14|3.87|3.15|3.63|2008-07-05T02:12:00Z|2009-06-05T03:30:00Z
CC|GZH|17|-0.80|5.66|0.06|2.08|2008-07-05T02:12:00Z|2008-09-11T00:20:00Z
CC|GZH|14|2.35|4.81|1.69|1.38|2008-09-18T11:58:00Z|2008-12-13T08:45:00Z
CC|GZH|23|1.32|4.22|1.17|2.86|2009-01-03T19:43:00Z|2009-06-05T03:30:00Z
CC|HEH|14|4.45|7.20|3.33|5.89|2008-07-14T04:44:00Z|2008-08-19T16:30:00Z
CC|HEH|45|0.30|5.28|1.29|3.78|2008-08-25T13:21:00Z|2009-03-28T17:59:00Z
CC|HHC|50|0.27|4.41|1.06|2.79|2008-07-05T02:12:00Z|2009-03-06T10:50:00Z
CC|HNS|58|-1.07|6.39|-0.95|5.46|2008-07-05T02:12:00Z|2009-03-30T12:11:00Z
CC|KSH|28|15.23|10.55|15.37|9.59|2008-07-06T01:00:00Z|2009-01-03T22:33:00Z
CC|LIQ|34|-9.46|7.62|-8.32|4.08|2008-07-05T02:12:00Z|2009-03-02T00:03:00Z
CC|LYN|49|-4.01|3.99|-3.94|2.48|2008-07-05T02:12:00Z|2009-03-28T17:59:00Z
CC|LZH|24|-1.76|6.58|-3.25|3.61|2008-07-05T02:12:00Z|2008-09-26T18:46:00Z
CC|LZH|40|-5.98|5.83|-5.21|5.65|2008-10-18T00:54:00Z|2009-03-30T12:07:00Z
CC|NJ2|47|2.55|3.81|2.52|2.58|2008-07-05T02:12:00Z|2009-03-28T17:59:00Z
CC|NNC|20|-2.58|8.91|-3.86|5.03|2008-07-05T02:12:00Z|2008-10-19T05:10:00Z
CC|PZH|22|-0.37|6.04|0.39|5.31|2008-07-05T02:12:00Z|2008-09-11T00:00:00Z
