#S wave model 2005, May from Sun
#  No  Lon  Lat   v1   v2   v3   v4  Sn    H1    H2   H3    H4
   1  70.0 31.0 2.43 3.28 3.75 3.96 4.34 4.00 14.99 14.80  9.96 
   2  70.0 32.0 2.42 3.57 3.75 3.89 4.34 4.00 14.65 14.60  9.78 
   3  70.0 33.0 2.26 3.01 3.77 3.86 4.37 3.50 17.53 17.39  9.02 
   4  70.0 34.0 2.13 3.26 3.65 3.82 4.43 3.50 16.66 17.14  9.31 
   5  70.0 35.0 2.11 3.34 3.76 3.90 4.36 0.50 18.18 16.90  9.23 
   6  70.0 36.0 2.16 3.39 3.61 3.92 4.46 0.50 18.94 16.56  9.04 
   7  70.0 37.0 2.19 3.04 3.77 3.97 4.41 1.00 19.21 19.23  8.06 
   8  70.0 38.0 2.17 3.09 3.61 3.95 4.44 1.00 19.06 20.72  8.27 
   9  70.0 39.0 2.16 3.49 3.67 3.81 4.38 1.00 19.35 19.29  9.52 
  10  70.0 40.0 2.05 3.06 3.63 3.87 4.33 1.00 19.37 19.92  8.48 
  11  70.0 41.0 2.26 3.13 3.71 3.81 4.52 3.00 19.12 19.21  9.63 
  12  70.0 42.0 2.37 3.60 3.72 3.83 4.49 3.00 20.45 19.79  9.15 
  13  70.0 43.0 2.06 3.31 3.78 3.92 4.39 1.00 18.02 17.73  9.42 
  14  70.0 44.0 2.42 3.31 3.79 3.82 4.25 1.00 18.84 17.96  9.69 
  15  70.0 45.0 2.31 3.01 3.71 3.93 4.41 2.00 20.35 20.76  4.20 
  16  70.0 46.0 2.35 3.35 3.78 3.85 4.27 2.00 19.98 20.88  4.79 
  17  70.0 47.0 2.34 3.36 3.72 3.90 4.35 0.50 18.29 17.67 11.06 
  18  70.0 48.0 2.24 3.16 3.61 3.96 4.46 0.50 17.60 17.54 11.16 
  19  70.0 49.0 2.27 3.50 3.74 3.94 4.41 0.50 18.37 17.82 11.94 
  20  70.0 50.0 2.07 3.41 3.72 3.93 4.57 0.50 18.21 17.64 11.78 
  21  70.0 51.0 2.53 3.56 3.66 3.88 4.41 1.00 17.93 17.78 11.73 
  22  70.0 52.0 2.05 3.50 3.78 4.00 4.55 1.00 17.92 17.90 11.55 
  23  70.0 53.0 2.27 3.18 3.75 3.83 4.51 0.50 16.20 16.93  9.73 
  24  70.0 54.0 2.33 3.35 3.76 3.86 4.57 0.50 16.50 16.89  9.98 
  25  70.0 55.0 2.48 3.41 3.61 3.94 4.50 1.00 16.77 15.77  9.94 
  26  71.0 30.0 2.42 3.46 3.61 3.95 4.55 3.00 15.56 14.96  9.85 
  27  71.0 31.0 2.18 3.38 3.69 3.80 4.55 4.00 14.86 14.84  9.47 
  28  71.0 32.0 2.58 3.43 3.74 3.86 4.48 4.00 14.94 14.75  9.73 
  29  71.0 33.0 2.18 3.05 3.63 3.81 4.55 3.50 17.91 17.34  9.13 
