201601300325A 158.73 53.86 168.07 7.22 20.0 13361 1024 9094495
201106222150A 142.51 39.99 41.35 6.73 11.2 10092 1028 7300240
201310010338A 152.81 53.2 585.52 6.72 11.2 9515 1014 6093960
201608241034A 94.58 20.79 88.32 6.76 11.6 9141 1025 6238955
201208140259A 145.7 49.97 598.2 7.72 35.6 8809 910 8368004
200908091055A 138.19 33.05 301.77 7.06 16.6 8767 907 5741343
201305140032A 145.35 18.67 604.72 6.82 12.6 8695 887 5607289
201007232208A 123.59 6.54 596.75 7.31 22.0 8556 976 6323059
201007232251A 123.9 6.62 576.92 7.64 32.4 8544 976 7579745
201007290731A 123.41 6.69 614.02 6.61 9.8 8523 970 5277390
201201010527A 138.17 31.61 351.95 6.79 12.2 8374 925 5106909
201003140808A 141.953 37.7053 42.3159 6.53 9.0 8289 886 5845265
201005311951A 93.7079 11.1657 120.8399 6.46 8.4 8135 773 4964321
201007042155A 142.77 39.68 35.3 6.27 6.8 7858 877 5252975
201507030643A 126.25 10.08 43.83 6.11 5.6 7675 1032 5237344
201111080259A 125.77 27.13 230.6 6.92 14.0 7629 902 4944050
201302021417A 143.24 42.85 105.35 6.93 14.2 7541 893 5018867
201004132349A 96.7875 33.0507 10.7442 6.82 13.2 7422 845 4894509
201111241025A 142.94 41.79 43.46 6.16 5.8 7314 902 4947057
201002262031A 128.6128 25.8639 15.4527 6.99 14.8 7278 903 5384964
201506231218A 139.85 27.68 458.51 6.52 8.8 7276 1017 4544083
201608041624A 141.91 24.98 522.7 6.27 6.6 7151 1024 4465509
201005260853A 130.0029 25.8017 6.9811 6.46 8.0 7039 895 4550166
201309040018A 138.79 30.02 412.03 6.51 8.8 6929 964 4169950
200904210526A 155.59 50.64 151.84 6.19 6.0 6790 952 4099719
201305240544A 153.77 54.61 610.95 8.33 71.4 6780 889 8508515
201707060803A 124.68 11.15 12.0 6.48 8.4 6743 986 4334217
200806132343A 140.85 39.03 7.8129 6.86 13.4 6704 736 4681579
200908122248A 140.6665 32.7502 54.7297 6.56 9.6 6693 772 4742108
201304171203A 141.7 38.51 55.9 5.93 4.4 6677 911 4607339
201506080601A 142.24 41.49 54.03 6.06 5.2 6663 1031 4535936
201007232315A 123.48 6.83 641.44 7.47 25.8 6635 977 5213460
200909031326A 130.1828 31.0794 162.6043 6.17 6.0 6602 763 3955547
201006180223A 148.9179 44.3406 29.2744 6.17 5.8 6529 836 4308179
201202260617A 96.0 51.69 20.46 6.67 10.4 6500 914 4192913
200910300703A 130.2077 28.9891 37.183 6.78 12.0 6473 868 4813145
201103241355A 100.0226 20.6159 4.549 6.79 12.8 6472 746 4374959
201309061133A 122.31 20.24 187.68 5.97 4.8 6441 1014 3871499
201102041353A 94.68 24.46 102.1204 6.24 6.6 6301 759 3702940
201505301123A 140.56 27.94 680.7 7.86 41.4 6299 1009 6457692
200912191302A 121.6307 23.7131 43.0927 6.42 8.0 6293 834 4317385
201304200002A 103.12 30.22 21.87 6.61 9.8 6278 899 4143114
200910031736A 121.5996 23.5823 31.7907 5.92 4.6 6261 874 3861581
201608141115A 142.3 50.45 12.47 5.76 3.8 6254 1006 4053732
201711090742A 141.52 32.45 18.72 5.99 4.8 6238 999 4013343
